Year,Month,1_Ayapel_2502515,2_Cerete_13075030,3_Chima_13075010,4_Cienaga_de_Oro_13075020,5_Montelibano_2502516,6_Monteria,7_Monteria_13055030,8_Monteria_13065020,9_Monteria_13075050,10_Monteria_13085040,11_Planeta_Rica_25025190,12_Planeta_Rica_25015010
1984,1,32.74193548,32.65806452,32.70322581,34.07419355,32.90322581,32.99032258,32.99032258,31.00322581,32.87419355,32.99032258,32.94516129,34.07419355
1984,2,32.82758621,32.76551724,32.6,34.32758621,33.15517241,33.45517241,33.45517241,31.29655172,33.38275862,33.45517241,33.27931034,34.32758621
1984,3,34.41935484,33.28387097,33.27741935,33.23225806,34.09354839,33.72580645,33.72580645,31.6516129,33.94193548,33.72580645,33.46129032,33.23225806
1984,4,34.46666667,32.96,33.39666667,33.42666667,34.24,33.37,33.37,31.56333333,33.78666667,33.37,33.26,33.42666667
1984,5,32.66451613,31.93548387,32.0516129,32.70645161,32.76129032,32.70645161,32.70645161,31.39677419,32.61290323,32.70645161,32.66451613,32.70645161
1984,6,31.44666667,31.10666667,31.24666667,31.57666667,31.35,31.57666667,31.57666667,30.38,31.35,31.57666667,31.26666667,31.57666667
1984,7,31.47419355,31.22903226,31.49032258,32.63870968,31.8,31.61612903,31.61612903,30.60322581,31.58709677,31.61612903,31.21612903,32.63870968
1984,8,31.77096774,31.51935484,31.42580645,33.71612903,31.82258065,31.61612903,31.61612903,30.49032258,31.92258065,31.61612903,31.31935484,33.71612903
1984,9,31.3,31.1,30.86666667,31.58333333,32.03333333,31.38333333,31.38333333,30.08,31.72,31.38333333,31.16,31.58333333
1984,10,31.25806452,31.26774194,30.88387097,34.4516129,32.11612903,31.03548387,31.03548387,30.68709677,31.60967742,31.03548387,31.00967742,34.4516129
1984,11,31.31333333,31.03333333,30.68666667,32.92666667,31.66333333,30.77666667,30.77666667,30.64333333,31.12,30.77666667,31.22,32.92666667
1984,12,31.81935484,32.39032258,31.99354839,32.10322581,32.15483871,32.10322581,32.10322581,31.42258065,32.50322581,32.10322581,32.60967742,32.10322581
1985,1,32.77419355,32.66774194,31.92903226,31.5483871,33.32580645,32.70967742,32.70967742,31.29677419,32.63225806,32.70967742,33.48387097,31.5483871
1985,2,34.67857143,34.11785714,32.26428571,33.95,34.73928571,34.08214286,34.08214286,32.26785714,34.15357143,34.08214286,34.4,33.95
1985,3,34.76129032,33.74193548,32.30967742,34.95806452,34.98387097,34.2,34.2,32.49032258,33.80322581,34.2,33.65483871,34.29677419
1985,4,34.39333333,33.37666667,33.38,34.62,33.95666667,34.64666667,34.64666667,32.16,33.45333333,34.64666667,33.69333333,34.64666667
1985,5,33.33548387,32.66774194,32.46451613,33.43870968,33.3,32.27096774,32.27096774,30.64193548,32.80322581,32.27096774,32.67096774,33.28387097
1985,6,32.92666667,32.51333333,32.38666667,32.41333333,32.50333333,32.01333333,32.01333333,30.36333333,32.28,32.01333333,32.16666667,32.07333333
1985,7,31.82580645,31.78709677,32.12258065,32.53548387,31.8,31.40645161,31.40645161,31.37741935,31.92580645,31.40645161,31.82903226,31.36129032
1985,8,31.52903226,31.73548387,32.28387097,31.67419355,31.93225806,30.68064516,30.68064516,31.13225806,31.84193548,30.68064516,31.12903226,31.12580645
1985,9,31.50666667,31.66,31.98666667,31.43,32.11,30.07,30.07,31.19333333,31.79,30.07,31.53333333,31.56
1985,10,31.54193548,31.54193548,32,31.44516129,32.00645161,30.0483871,30.0483871,30.83548387,31.83548387,30.0483871,31.15806452,32.27741935
1985,11,31.67333333,31.65333333,32.03333333,31.83333333,31.80666667,29.6,29.6,31.18333333,31.82,29.6,31.5,31.08333333
1985,12,32.03870968,32.05806452,31.56129032,32.91612903,32.10645161,30.03225806,30.03225806,31.57096774,32.45483871,30.03225806,31.89677419,32.4516129
1986,1,33.25806452,32.72258065,31.41290323,33.87096774,33.1483871,30.66774194,30.66774194,31.85806452,32.88709677,30.66774194,32.72258065,33.92258065
1986,2,33.22857143,32.82142857,31.35714286,33.34642857,33.28214286,30.47857143,30.47857143,31.88214286,33.05714286,30.47857143,32.82142857,33.67142857
1986,3,34.32258065,34.01935484,32.72903226,34.02580645,33.97419355,31.88064516,31.88064516,31.69677419,34.04193548,31.88064516,34.01935484,34.90322581
1986,4,32.40333333,32.34,34.16,33.06333333,33.02333333,32.68,32.68,30.39333333,32.82333333,32.68,32.34,33.06
1986,5,32.18709677,32.18709677,34.36774194,32.69354839,32.64516129,32.50967742,32.50967742,30.39354839,33.11612903,32.50967742,32.18709677,32.35483871
1986,6,32.37666667,32.37666667,34.08666667,33.26,32.60333333,32.30333333,32.30333333,31.13333333,32.99333333,32.30333333,32.37666667,32.27
1986,7,32.93548387,32.83548387,34.27741935,34.02580645,33.06451613,33.01935484,33.01935484,30.80645161,33.46129032,33.01935484,32.83548387,32.48709677
1986,8,32.56129032,32.55806452,34.02580645,33.21612903,32.48064516,32.20645161,32.20645161,30.74193548,33.66451613,32.20645161,32.55806452,31.71612903
1986,9,32.14,31.85666667,32.93333333,32.62,32.46333333,31.6,31.6,30.68,33.22,31.6,31.85666667,31.87666667
1986,10,31.40645161,30.7516129,31.50322581,32.07741935,31.41935484,31.20967742,31.20967742,30.42580645,32.18709677,31.20967742,30.7516129,31.52903226
1986,11,31.86666667,31.90666667,31.94,32.82333333,31.94,31.9,31.9,31.69,33.04,31.9,31.90666667,32.08666667
1986,12,32.73548387,32.9483871,32.33225806,34.32258065,32.33225806,32.92580645,32.92580645,32.22903226,33.74193548,32.92580645,32.9483871,33.85806452
1987,1,34.41290323,34.41290323,33.3516129,31.7,32.69677419,31.7,31.7,32.01935484,33.23225806,31.7,34.41290323,31.7
1987,2,35.78571429,35.78571429,33.45357143,32.29642857,32.6,32.29642857,32.29642857,32.775,32.64285714,32.29642857,35.78571429,32.29642857
1987,3,34.62258065,34.39354839,33.69032258,33.6516129,33.12258065,33.6516129,33.6516129,32.37741935,32.57741935,33.6516129,33.06451613,33.6516129
1987,4,33.6,33.6,32.51333333,33.27,33.12,33.27,33.27,32.36,32.58,33.27,33.6,33.27
1987,5,32.82580645,32.82580645,32.97419355,32.36774194,32.58064516,32.36774194,32.36774194,31.73870968,31.79032258,32.36774194,32.82580645,32.36774194
1987,6,32.37,31.84333333,33.04666667,32.95666667,33.04666667,32.95666667,32.95666667,33.05,33.04666667,32.95666667,32.09333333,32.95666667
