Year,Month,1_Ayapel_2502515,2_Cerete_13075030,3_Chima_13075010,4_Cienaga_de_Oro_13075020,5_Montelibano_2502516,6_Monteria,7_Monteria_13055030,8_Monteria_13065020,9_Monteria_13075050,10_Monteria_13085040,11_Planeta_Rica_25025190,12_Planeta_Rica_25015010
1984,1,22.45806452,20.72903226,22.12903226,22.61290323,21.79032258,22.90322581,22.90322581,22.93548387,21.82258065,22.90322581,21.83548387,22.61290323
1984,2,22.99310345,22.13793103,22.08965517,23.7137931,22.46896552,23.25862069,23.25862069,23.88965517,23,23.25862069,22.26551724,23.7137931
1984,3,23.43225806,22.4,22.07741935,23.81935484,22.85483871,23.35806452,23.35806452,24.08064516,23.08387097,23.35806452,22.51935484,23.81935484
1984,4,23.46,22.94,22.54666667,24.08666667,22.63333333,22.75,22.75,24.29,22.83,22.75,22.74,24.08666667
1984,5,23.32903226,23.30645161,22.6516129,23.42258065,23.08064516,23.42258065,23.42258065,24.17419355,23.28387097,23.42258065,23.32903226,23.42258065
1984,6,23.01333333,23.21666667,21.81333333,22.97333333,22.96,22.97333333,22.97333333,23.63666667,22.96,22.97333333,22.60333333,22.97333333
1984,7,22.49677419,22.5516129,21.67741935,23.10967742,22.21935484,23.18709677,23.18709677,23.4516129,22.67419355,23.18709677,22.38064516,23.10967742
1984,8,22.84516129,23.19677419,22.39677419,23.52258065,22.00967742,23.22903226,23.22903226,23.87096774,22.98709677,23.22903226,22.58387097,23.52258065
1984,9,22.46666667,22.31666667,21.82666667,22.70666667,22.21666667,22.67666667,22.67666667,23.23666667,21.90666667,22.67666667,22.15,22.70666667
1984,10,23.02580645,22.94193548,21.98709677,23.10967742,22.65483871,23.14193548,23.14193548,23.20967742,22.48064516,23.14193548,22.43225806,23.10967742
1984,11,23.03333333,22.53666667,21.97333333,22.69333333,22.53666667,23.01,23.01,21.29,22.24333333,23.01,21.88666667,22.69333333
1984,12,22.67741935,22.03225806,21.87741935,22.7,22.61290323,22.7,22.7,21.73548387,22.10967742,22.7,22.33548387,22.7
1985,1,21.40645161,21.36451613,21.57096774,22.12903226,21.71290323,21.59032258,21.59032258,22.08387097,21.33548387,21.59032258,21.66451613,22.12903226
1985,2,22.12857143,21.95,20.88571429,22.72857143,21.82857143,21.78928571,21.78928571,23.25714286,21.65,21.78928571,22.27857143,22.72857143
1985,3,23.21935484,22.80645161,21.72903226,23.52258065,22.08709677,22.36129032,22.36129032,23.60645161,22.93548387,22.36129032,23.05806452,23.21290323
1985,4,23.58666667,23.62333333,22.43333333,24.02333333,22.16333333,24.12333333,24.12333333,24.57,23.8,24.12333333,23.43,24.12333333
1985,5,23.9516129,23.24516129,22.54193548,24.04516129,22.28387097,23.19677419,23.19677419,23.12903226,23.61612903,23.19677419,23.12258065,23.29677419
1985,6,22.95333333,23.10333333,21.86666667,23.44,21.57666667,22.94333333,22.94333333,22.41666667,23.45666667,22.94333333,22.93666667,23.55
1985,7,22.58709677,22.93225806,22.03225806,23.05806452,21.21612903,22.64516129,22.64516129,22.79354839,23.07096774,22.64516129,22.07741935,21.74516129
1985,8,22.84516129,22.85806452,21.89677419,23.1,21.50322581,22.42903226,22.42903226,23.18064516,22.83870968,22.42903226,22.57096774,22.63225806
1985,9,22.92666667,22.97,22.10666667,22.97333333,21.71,22.71,22.71,23.89666667,23.02333333,22.71,22.57,22.17
1985,10,22.96774194,22.96774194,22.09032258,23.28387097,21.98709677,22.72903226,22.72903226,23.57419355,22.99032258,22.72903226,22.68064516,22.13870968
1985,11,23.24333333,22.81666667,21.73333333,23.31333333,21.72,22.96333333,22.96333333,23.64666667,22.72,22.96333333,22.63333333,22.84
