Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,18.5311,31,21.2,11
1/2/1980,1/1980,19.9123,31.9,20.6,0
1/3/1980,1/1980,20.2576,32.4,20.8,0.2
1/4/1980,1/1980,19.6821,32.2,21.2,0
1/5/1980,1/1980,20.0274,33.1,21.8,0
1/6/1980,1/1980,18.8764,32.8,22.8,8.7
1/7/1980,1/1980,18.6462,33,23.3,0
1/8/1980,1/1980,16.6895,32,24.2,0
1/9/1980,1/1980,18.3009,32.4,23,0
1/10/1980,1/1980,18.1858,32.4,23.2,0
1/11/1980,1/1980,17.8405,32,23.2,0
1/12/1980,1/1980,17.265,31,22.8,0
1/13/1980,1/1980,19.1066,30.2,20.2,0
1/14/1980,1/1980,18.5311,30.2,20.8,0
1/15/1980,1/1980,19.4519,31.2,20.9,0
1/16/1980,1/1980,20.1425,33.2,22.2,0
1/17/1980,1/1980,18.416,33,23.8,0
1/18/1980,1/1980,17.3801,31.2,23,0
1/19/1980,1/1980,17.6103,32.2,23.8,0
1/20/1980,1/1980,18.8764,32.8,23.2,0
1/21/1980,1/1980,20.8331,32.8,21.2,0
1/22/1980,1/1980,21.7539,33.8,21.2,0
1/23/1980,1/1980,20.718,33.2,21.8,0
1/24/1980,1/1980,19.9123,32.3,21.8,0
1/25/1980,1/1980,20.2576,32.8,22,0
1/26/1980,1/1980,19.7972,32.2,22,0
1/27/1980,1/1980,20.6029,33.4,22.4,0
1/28/1980,1/1980,17.0348,31.1,23.6,0
1/29/1980,1/1980,18.3009,32.6,24,0
1/30/1980,1/1980,18.7613,32.8,23.8,0
1/31/1980,1/1980,20.718,33.9,22.9,37.3
2/1/1980,2/1980,19.8,34.4,24,0
2/2/1980,2/1980,19.4625,33,23,0
2/3/1980,2/1980,19.0125,32.9,23.4,0
2/4/1980,2/1980,18.675,33,23.8,0.5
2/5/1980,2/1980,17.325,31.6,23.8,0
2/6/1980,2/1980,20.5875,33.2,22.2,0
2/7/1980,2/1980,20.8125,34,22.8,0
2/8/1980,2/1980,19.35,33,23.4,0
2/9/1980,2/1980,19.8,33.8,23.8,0
2/10/1980,2/1980,21.15,34.6,23.2,0
2/11/1980,2/1980,21.15,34.2,22.9,0
2/12/1980,2/1980,20.925,34.1,23,0
2/13/1980,2/1980,21.7125,34.2,22.3,15
2/14/1980,2/1980,19.575,32.6,23,0
2/15/1980,2/1980,19.6875,32.6,23,0
2/16/1980,2/1980,19.2375,32.8,23.6,0.8
2/17/1980,2/1980,19.6875,33.4,23.8,0.6
2/18/1980,2/1980,19.575,33,23.6,0
2/19/1980,2/1980,20.25,33.8,23.8,1
2/20/1980,2/1980,15.525,30,24.1,0
2/21/1980,2/1980,21.4875,33.2,22,0
2/22/1980,2/1980,19.9125,31.8,22.2,0
2/23/1980,2/1980,18.225,31.2,23.2,0
2/24/1980,2/1980,20.025,32.8,23.2,0
2/25/1980,2/1980,18.225,32.1,24.2,0
2/26/1980,2/1980,20.7,34.2,24.1,0
2/27/1980,2/1980,21.15,35,24.5,0
2/28/1980,2/1980,14.4,29.8,24.9,0
2/29/1980,2/1980,21.825,33.9,22.8,0
3/1/1980,3/1980,19.6974,34.2,24,0
3/2/1980,3/1980,18.4266,33,24.1,0
3/3/1980,3/1980,16.6263,32.2,25,0
3/4/1980,3/1980,20.3328,34.6,23.8,0
3/5/1980,3/1980,16.4145,31.1,24.1,0
3/6/1980,3/1980,15.7791,30.6,24.2,0
3/7/1980,3/1980,18.003,32,23.7,0
3/8/1980,3/1980,17.6853,32,24,0
3/9/1980,3/1980,17.2617,32.4,24.8,0
3/10/1980,3/1980,16.0968,31.7,25.1,0
3/11/1980,3/1980,17.7912,33,25,0
3/12/1980,3/1980,20.6505,34.1,23.3,0
3/13/1980,3/1980,18.003,31.4,23.2,0
3/14/1980,3/1980,18.003,32.2,24,0
3/15/1980,3/1980,18.1089,32.1,23.9,0
3/16/1980,3/1980,19.9092,33,23.1,0
3/17/1980,3/1980,19.8033,33,23.2,0
