Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,18.5311,33.2,23.2,0
1/2/1980,1/1980,16.6895,32.6,24.5,0
1/3/1980,1/1980,17.6103,33,24,0
1/4/1980,1/1980,17.9556,33.4,24,0.7
1/5/1980,1/1980,17.9556,32.8,23.5,0
1/6/1980,1/1980,17.4952,32.8,24,0
1/7/1980,1/1980,19.567,34,23,0
1/8/1980,1/1980,21.0633,35.2,22.5,0
1/9/1980,1/1980,19.2217,33.6,23,0
1/10/1980,1/1980,19.3368,34,23.4,0
1/11/1980,1/1980,20.0274,34.2,22.8,0
1/12/1980,1/1980,21.0633,34,21.5,4.6
1/13/1980,1/1980,20.4878,34.1,22.3,0
1/14/1980,1/1980,19.567,32.6,21.9,0
1/15/1980,1/1980,19.1066,32.6,22.4,0
1/16/1980,1/1980,20.1425,32.8,21.5,0
1/17/1980,1/1980,20.0274,32.6,21.5,0
1/18/1980,1/1980,20.4878,33,21.4,0
1/19/1980,1/1980,19.9123,32.5,21.6,0
1/20/1980,1/1980,19.3368,32.8,22.5,0
1/21/1980,1/1980,18.3009,32.1,23,0
1/22/1980,1/1980,20.9482,33.7,21.8,0
1/23/1980,1/1980,19.1066,33.7,23.8,0
1/24/1980,1/1980,18.6462,32.6,23.2,0
1/25/1980,1/1980,21.0633,34.2,22.3,0
1/26/1980,1/1980,21.7539,34.7,22,0
1/27/1980,1/1980,19.7972,33.4,23,0
1/28/1980,1/1980,18.9915,32.6,23,0
1/29/1980,1/1980,19.6821,33.2,23,0
1/30/1980,1/1980,18.416,32.9,24,0
1/31/1980,1/1980,20.4878,34.1,23.1,0
2/1/1980,2/1980,17.325,31,22.8,0
2/2/1980,2/1980,18.9,32,22.4,0.2
2/3/1980,2/1980,19.2375,32.2,22.2,0
2/4/1980,2/1980,16.65,31,23.6,1.2
2/5/1980,2/1980,16.5375,30.8,23.5,0
2/6/1980,2/1980,20.7,33.6,22.3,0
2/7/1980,2/1980,22.275,34.4,21.3,0
2/8/1980,2/1980,21.2625,34.3,22.5,0
2/9/1980,2/1980,22.8375,34.6,21,0
2/10/1980,2/1980,21.2625,33.8,22.1,0
2/11/1980,2/1980,21.375,34.8,23,0
2/12/1980,2/1980,21.9375,34.9,22.5,0
2/13/1980,2/1980,22.6125,35,22,0
2/14/1980,2/1980,23.175,34.8,21.2,0
2/15/1980,2/1980,21.375,34.5,23,0
2/16/1980,2/1980,20.475,33.4,22.8,0
2/17/1980,2/1980,21.6,33.5,21.8,0
2/18/1980,2/1980,21.9375,33.5,21.5,0
2/19/1980,2/1980,22.3875,33.9,21.5,0
2/20/1980,2/1980,20.7,31.6,21,0
2/21/1980,2/1980,19.8,32.6,23,0
2/22/1980,2/1980,23.175,34.8,21.7,0
2/23/1980,2/1980,22.95,34.2,21.4,0
2/24/1980,2/1980,24.525,35.4,20.8,0
2/25/1980,2/1980,23.625,34.9,21.5,0
2/26/1980,2/1980,22.5,34.6,22.5,0
2/27/1980,2/1980,26.8875,35.3,18,0
2/28/1980,2/1980,22.275,34.8,23,0
2/29/1980,2/1980,21.7125,33.6,22.5,0
3/1/1980,3/1980,22.4508,34.8,21.4,0
3/2/1980,3/1980,21.2859,34,22,0
3/3/1980,3/1980,19.6974,32.4,22.2,0
3/4/1980,3/1980,21.7095,33.6,21.2,0
3/5/1980,3/1980,22.239,34.4,21.5,0
3/6/1980,3/1980,22.5567,35.2,22,0
3/7/1980,3/1980,22.239,35.2,22.4,0
3/8/1980,3/1980,22.0272,34,21.5,0
3/9/1980,3/1980,23.1921,35,21.2,0
3/10/1980,3/1980,21.4977,35.4,23.5,0
3/11/1980,3/1980,21.7095,35.6,23.5,0
3/12/1980,3/1980,21.7095,35.4,23.4,0
3/13/1980,3/1980,22.0272,35.7,23.4,0
3/14/1980,3/1980,20.9682,35.4,24.3,0
3/15/1980,3/1980,20.9682,35.6,24.5,0
3/16/1980,3/1980,22.7685,36.3,23.2,0
3/17/1980,3/1980,21.8154,35.4,23.5,0
3/18/1980,3/1980,21.2859,34.6,23.3,0
3/19/1980,3/1980,22.4508,33.1,20.5,0
3/20/1980,3/1980,22.7685,35.9,23,0
3/21/1980,3/1980,23.1921,35.8,22.4,0
3/22/1980,3/1980,20.3328,32.6,22.3,0
3/23/1980,3/1980,21.7095,34.2,22.5,0
3/24/1980,3/1980,20.8623,34.8,24,0
3/25/1980,3/1980,20.121,33.6,23.6,0
3/26/1980,3/1980,24.5688,35.4,20.5,0
3/27/1980,3/1980,21.18,35,24,0
3/28/1980,3/1980,21.3918,35.2,24,0
3/29/1980,3/1980,18.5325,32.2,23.8,0
3/30/1980,3/1980,11.4372,26.3,23.1,19.6
3/31/1980,3/1980,23.0862,35,22,0
4/1/1980,4/1980,19.503,33.6,23,0
4/2/1980,4/1980,19.305,33.8,23.4,0
4/3/1980,4/1980,20.592,34.6,22.8,0
4/4/1980,4/1980,19.404,34,23.5,0
4/5/1980,4/1980,18.81,33.4,23.6,0
4/6/1980,4/1980,18.909,33.4,23.5,0
4/7/1980,4/1980,18.612,33.6,24,0
4/8/1980,4/1980,19.8,33.4,22.5,0
4/9/1980,4/1980,19.404,33.6,23.2,0
4/10/1980,4/1980,19.602,33.2,22.5,0
4/11/1980,4/1980,20.691,33.4,21.5,0
4/12/1980,4/1980,21.879,33.1,19.8,0
4/13/1980,4/1980,21.78,34.6,21.5,0
4/14/1980,4/1980,20.295,34.8,23.4,0.2
4/15/1980,4/1980,18.513,34.5,25,7.8
4/16/1980,4/1980,20.493,36.4,24.8,0
4/17/1980,4/1980,20.988,36.7,24.5,3.6
4/18/1980,4/1980,19.404,34.9,24.5,0.4
4/19/1980,4/1980,22.671,35.8,21.6,38.2
4/20/1980,4/1980,19.305,31.8,21.5,0
4/21/1980,4/1980,15.444,32,25.4,30.3
4/22/1980,4/1980,16.929,31,23,0
4/23/1980,4/1980,16.335,31.9,24.5,0.4
4/24/1980,4/1980,19.701,34.8,24,1.4
4/25/1980,4/1980,22.374,34.6,20.7,6.5
4/26/1980,4/1980,17.622,33.2,24.5,0
4/27/1980,4/1980,21.285,36.2,23.5,0
4/28/1980,4/1980,16.533,33.1,25.5,1.6
4/29/1980,4/1980,13.266,30.4,25.5,0
4/30/1980,4/1980,19.701,33.5,22.6,0
5/1/1980,5/1980,21.1338,34,23.1,0
5/2/1980,5/1980,14.337,30,25,0
5/3/1980,5/1980,21.0276,34.2,23.4,0
5/4/1980,5/1980,21.1338,34.3,23.4,0
5/5/1980,5/1980,20.3904,34.2,24,3.8
5/6/1980,5/1980,14.9742,30.5,25,0
5/7/1980,5/1980,16.6734,31.4,24.6,0.2
5/8/1980,5/1980,12.4254,28.2,24.4,6.2
5/9/1980,5/1980,20.8152,33.2,22.5,0
5/10/1980,5/1980,20.3904,34.2,24,0
5/11/1980,5/1980,18.585,33,24.5,0
5/12/1980,5/1980,16.3548,32.2,25.6,0.8
5/13/1980,5/1980,19.116,33.6,24.5,0.7
5/14/1980,5/1980,15.2928,30,24.2,0.3
5/15/1980,5/1980,18.4788,32,23.5,3.2
5/16/1980,5/1980,22.0896,33,20.8,0.2
5/17/1980,5/1980,21.0276,34.5,23.5,0
5/18/1980,5/1980,19.116,30.5,21.4,0
5/19/1980,5/1980,19.4346,33.9,24.5,0
5/20/1980,5/1980,17.6292,32.3,24.5,0.3
5/21/1980,5/1980,20.6028,35,24.4,0
5/22/1980,5/1980,18.3726,32,23.5,0.3
5/23/1980,5/1980,17.9478,32.1,24,2.2
5/24/1980,5/1980,17.2044,30,22.5,0.8
5/25/1980,5/1980,20.2842,33,22.6,15
5/26/1980,5/1980,21.0276,33.5,22.3,6.7
5/27/1980,5/1980,18.1602,32,23.7,0
5/28/1980,5/1980,20.6028,34.2,23.5,0
5/29/1980,5/1980,15.93,32,25.6,36
5/30/1980,5/1980,18.1602,31,22.6,0
5/31/1980,5/1980,19.116,33.1,23.8,0.4
6/1/1980,6/1980,17.9488,30.4,23.2,0
6/2/1980,6/1980,20.7888,33,23.4,0
6/3/1980,6/1980,22.152,33.9,23,1.8
6/4/1980,6/1980,19.88,32,23.2,1.6
6/5/1980,6/1980,20.5616,33.4,24,0
6/6/1980,6/1980,19.6528,32.8,24.2,0
6/7/1980,6/1980,19.9936,34.4,25.4,0
6/8/1980,6/1980,20.448,33.4,24,0
6/9/1980,6/1980,22.4928,29.4,18,0
6/10/1980,6/1980,19.88,32,23.1,0.5
6/11/1980,6/1980,18.8576,31.8,23.8,0
6/12/1980,6/1980,18.4032,31.8,24.2,0
6/13/1980,6/1980,26.128,33.4,18,0
6/14/1980,6/1980,27.0368,35,18.5,0
6/15/1980,6/1980,22.152,35.6,24.5,0
6/16/1980,6/1980,23.9696,35.2,22.3,0
6/17/1980,6/1980,16.6992,31.8,25.5,1.9
6/18/1980,6/1980,18.8576,33,25,10.6
6/19/1980,6/1980,17.3808,29.8,23,0
6/20/1980,6/1980,14.0864,27.2,22.7,0
6/21/1980,6/1980,19.7664,32.3,23.5,22.7
6/22/1980,6/1980,20.448,34.4,25,14
6/23/1980,6/1980,17.4944,30.9,24,0
6/24/1980,6/1980,22.0384,35,24,0
6/25/1980,6/1980,20.6752,34.6,24.9,0
6/26/1980,6/1980,21.016,34.8,24.8,0
6/27/1980,6/1980,20.3344,34.8,25.5,0
6/28/1980,6/1980,24.1968,36.2,23,0
6/29/1980,6/1980,23.7424,36.2,23.5,0
6/30/1980,6/1980,23.288,35.2,23,3.2
7/1/1980,7/1980,21.492,33.6,24.2,0
7/2/1980,7/1980,20.895,34.4,25.5,20.2
7/3/1980,7/1980,23.4024,31.7,20.5,0
7/4/1980,7/1980,23.283,34.2,23.2,0
7/5/1980,7/1980,24.7158,36.6,24.2,0
7/6/1980,7/1980,22.5666,35.4,25,39.5
7/7/1980,7/1980,21.6114,31,21.5,1
7/8/1980,7/1980,23.283,34,23,0
7/9/1980,7/1980,21.1338,33.6,24.5,14
7/10/1980,7/1980,22.4472,32.6,22.4,53.9
7/11/1980,7/1980,21.9696,31.2,21.4,0
