Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,17.8405,33.2,23.8,5
1/2/1980,1/1980,20.2576,33.6,21.6,0
1/3/1980,1/1980,19.9123,33.8,22.2,0
1/4/1980,1/1980,19.3368,32.4,21.4,0
1/5/1980,1/1980,18.6462,33,22.8,0
1/6/1980,1/1980,18.3009,32.6,22.8,0
1/7/1980,1/1980,21.2935,35,21.8,0
1/8/1980,1/1980,21.4086,35,21.8,0
1/9/1980,1/1980,20.3727,33.8,21.8,0
1/10/1980,1/1980,20.6029,34.2,22,10
1/11/1980,1/1980,19.9123,33,21.6,0
1/12/1980,1/1980,21.5237,33.8,20.6,0
1/13/1980,1/1980,21.0633,33.6,21,0
1/14/1980,1/1980,19.3368,32.4,21.8,0
1/15/1980,1/1980,20.4878,32.8,21,30
1/16/1980,1/1980,19.9123,32.2,21,0
1/17/1980,1/1980,20.0274,32.2,21,0
1/18/1980,1/1980,21.5237,33,20,0
1/19/1980,1/1980,21.2935,33.6,21,0
1/20/1980,1/1980,19.9123,33,22,0
1/21/1980,1/1980,21.0633,33.8,21.6,0
1/22/1980,1/1980,20.718,33.6,21.8,0
1/23/1980,1/1980,21.869,34,21,0
1/24/1980,1/1980,19.7972,32.2,21.6,0
1/25/1980,1/1980,20.8331,33,21.2,0
1/26/1980,1/1980,18.6462,32.2,22.8,0
1/27/1980,1/1980,21.5237,33.6,21.2,0
1/28/1980,1/1980,23.7106,33.6,18.6,0
1/29/1980,1/1980,21.9841,34,21.2,0
1/30/1980,1/1980,23.7106,34,19.2,0
1/31/1980,1/1980,21.4086,33.6,21.6,0
2/1/1980,2/1980,19.4625,34.4,24,0
2/2/1980,2/1980,19.125,33,23,0
2/3/1980,2/1980,18.675,32.9,23.4,0
2/4/1980,2/1980,18.45,33,23.8,0.5
2/5/1980,2/1980,17.1,31.6,23.8,0
2/6/1980,2/1980,20.3625,33.2,22.2,0
2/7/1980,2/1980,20.5875,34,22.8,0
2/8/1980,2/1980,19.125,33,23.4,0
2/9/1980,2/1980,19.4625,33.8,23.8,0
2/10/1980,2/1980,20.925,34.6,23.2,0
2/11/1980,2/1980,20.8125,34.2,22.9,0
2/12/1980,2/1980,20.7,34.1,23,0
2/13/1980,2/1980,21.4875,34.2,22.3,15
2/14/1980,2/1980,19.35,32.6,23,0
2/15/1980,2/1980,19.4625,32.6,23,0
2/16/1980,2/1980,19.0125,32.8,23.6,0.8
2/17/1980,2/1980,19.575,33.4,23.8,0.6
2/18/1980,2/1980,19.35,33,23.6,0
2/19/1980,2/1980,20.025,33.8,23.8,1
2/20/1980,2/1980,15.4125,30,24.1,0
2/21/1980,2/1980,21.2625,33.2,22,0
2/22/1980,2/1980,19.8,31.8,22.2,0
2/23/1980,2/1980,18.1125,31.2,23.2,0
2/24/1980,2/1980,19.9125,32.8,23.2,0
2/25/1980,2/1980,18.1125,32.1,24.2,0
2/26/1980,2/1980,20.475,34.2,24.1,0
2/27/1980,2/1980,20.925,35,24.5,0
2/28/1980,2/1980,14.2875,29.8,24.9,0
2/29/1980,2/1980,21.6,33.9,22.8,0
3/1/1980,3/1980,22.8744,34,20,0
3/2/1980,3/1980,22.1331,33.6,20.6,0
3/3/1980,3/1980,18.003,31.2,22.6,0
3/4/1980,3/1980,23.0862,34,20,0
3/5/1980,3/1980,23.0862,34.2,20.2,0
3/6/1980,3/1980,23.9334,35,20,0
3/7/1980,3/1980,22.6626,35,21.6,0
3/8/1980,3/1980,25.7337,35.2,18,0
3/9/1980,3/1980,21.3918,34.2,22.4,0
3/10/1980,3/1980,20.3328,32.6,22,0
3/11/1980,3/1980,21.2859,34,22.4,0
3/12/1980,3/1980,23.7216,35.6,21.2,1
3/13/1980,3/1980,25.5219,36.6,20,0
3/14/1980,3/1980,21.9213,35.8,23.6,0
3/15/1980,3/1980,23.5098,35,21,0
3/16/1980,3/1980,22.3449,35.6,23,0
3/17/1980,3/1980,22.8744,35,21.8,0
3/18/1980,3/1980,24.8865,35.8,20.2,0
3/19/1980,3/1980,22.6626,34,21.2,0
3/20/1980,3/1980,24.8865,35.6,20.2,0
3/21/1980,3/1980,25.8396,36.2,19.6,0
3/22/1980,3/1980,24.357,35,20.2,0
3/23/1980,3/1980,23.0862,34.6,21.4,0
3/24/1980,3/1980,23.4039,35.6,22,0
3/25/1980,3/1980,21.7095,33.8,22.2,0
3/26/1980,3/1980,23.1921,35.2,22,0
3/27/1980,3/1980,24.5688,38,23.2,0
3/28/1980,3/1980,21.9213,35,23.2,0
3/29/1980,3/1980,20.7564,33.6,23,0
3/30/1980,3/1980,21.18,33,22,0
3/31/1980,3/1980,23.7216,35,21.2,0
4/1/1980,4/1980,20.691,34,22,0
4/2/1980,4/1980,20.889,34.2,22,0
4/3/1980,4/1980,21.78,34.8,21.6,0
4/4/1980,4/1980,22.473,35.4,21.4,0
4/5/1980,4/1980,21.483,34.2,21.4,0
4/6/1980,4/1980,20.394,33,21.4,0
4/7/1980,4/1980,21.285,35,22.4,0
4/8/1980,4/1980,21.285,34,21.4,0
4/9/1980,4/1980,22.275,33.8,20,0
4/10/1980,4/1980,20.79,33,21,0
4/11/1980,4/1980,21.186,33.4,21,0
4/12/1980,4/1980,21.186,33.4,21,0
4/13/1980,4/1980,22.473,35,21,0
4/14/1980,4/1980,22.176,35,21.4,0
4/15/1980,4/1980,21.483,34,21.2,0
4/16/1980,4/1980,23.859,38.2,22.4,1.6
4/17/1980,4/1980,24.057,37.2,21.2,2.6
4/18/1980,4/1980,24.156,37.2,21,0.3
4/19/1980,4/1980,21.285,36,23.4,10.8
4/20/1980,4/1980,24.354,36.4,20,0
4/21/1980,4/1980,20.79,33,21,15
4/22/1980,4/1980,19.503,32,21.4,0.2
4/23/1980,4/1980,23.562,36.6,21.2,0
4/24/1980,4/1980,20.988,33.6,21.4,0
4/25/1980,4/1980,19.503,34,23.4,1.1
4/26/1980,4/1980,21.78,34.2,21,0
4/27/1980,4/1980,22.869,36.6,22,0
4/28/1980,4/1980,21.582,34,21,9.7
4/29/1980,4/1980,17.721,30.2,21.4,3.8
4/30/1980,4/1980,22.374,34,20,0
5/1/1980,5/1980,21.24,34.2,23.2,20
5/2/1980,5/1980,24.2136,34.2,20,8.8
5/3/1980,5/1980,19.647,31.4,22,4.8
5/4/1980,5/1980,21.24,32.6,21.6,10
5/5/1980,5/1980,21.6648,33.8,22.4,0
5/6/1980,5/1980,21.771,33.6,22,9
5/7/1980,5/1980,18.7974,31.6,23,0
5/8/1980,5/1980,14.5494,27.6,22.4,0.3
5/9/1980,5/1980,20.8152,32.6,22,6
5/10/1980,5/1980,22.0896,33,21,0
5/11/1980,5/1980,21.3462,33.2,22,24
5/12/1980,5/1980,22.0896,34,22,0
5/13/1980,5/1980,23.1516,34.2,21,0
5/14/1980,5/1980,22.7268,33.8,21,1.9
5/15/1980,5/1980,18.3726,30.6,22.2,1.1
5/16/1980,5/1980,20.2842,32.8,22.6,0
5/17/1980,5/1980,19.0098,30,21,0
5/18/1980,5/1980,20.2842,30.2,20,0
5/19/1980,5/1980,20.0718,31,21,0
5/20/1980,5/1980,20.178,31.2,21,0
5/21/1980,5/1980,23.4702,34.8,21,0
5/22/1980,5/1980,19.647,32,22.4,0
5/23/1980,5/1980,19.5408,29.6,20,0
5/24/1980,5/1980,18.9036,30,21,0
5/25/1980,5/1980,18.9036,30,21,0
5/26/1980,5/1980,18.9036,30,21,5.5
5/27/1980,5/1980,20.178,31.2,21,0
5/28/1980,5/1980,23.5764,35,21,0
5/29/1980,5/1980,23.5764,34,20,28.7
5/30/1980,5/1980,23.5764,34,20,13.3
5/31/1980,5/1980,21.5586,33.8,22,0
6/1/1980,6/1980,17.2672,29.6,23,2.8
6/2/1980,6/1980,22.0384,33.2,22.4,0
6/3/1980,6/1980,24.1968,34,21,0
6/4/1980,6/1980,22.0384,32.2,21.4,0.8
6/5/1980,6/1980,23.4016,33.6,21.4,0
6/6/1980,6/1980,19.88,29.8,21,0
6/7/1980,6/1980,22.3792,34.2,23,0
6/8/1980,6/1980,23.1744,33,21,0
6/9/1980,6/1980,20.3344,32.2,23,15
6/10/1980,6/1980,20.3344,31.2,22,0
6/11/1980,6/1980,18.9712,31,23,5
6/12/1980,6/1980,20.1072,31,22,0
6/13/1980,6/1980,20.6752,30.6,21,0
6/14/1980,6/1980,19.9936,31.6,22.6,0
6/15/1980,6/1980,26.3552,36.6,21,0
6/16/1980,6/1980,19.5392,31.6,23,0
6/17/1980,6/1980,17.9488,31.8,24.6,7.1
6/18/1980,6/1980,24.0832,34,21,30
6/19/1980,6/1980,20.6752,29.6,20,0
6/20/1980,6/1980,24.0832,35,22,0
6/21/1980,6/1980,21.4704,31.8,21.4,0
6/22/1980,6/1980,21.6976,31.6,21,30
6/23/1980,6/1980,23.7424,32.6,20,0
6/24/1980,6/1980,24.0832,34,21,0
