Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,18.416,31,21.2,11
1/2/1980,1/1980,19.7972,31.9,20.6,0
1/3/1980,1/1980,20.1425,32.4,20.8,0.2
1/4/1980,1/1980,19.567,32.2,21.2,0
1/5/1980,1/1980,19.9123,33.1,21.8,0
1/6/1980,1/1980,18.7613,32.8,22.8,8.7
1/7/1980,1/1980,18.416,33,23.3,0
1/8/1980,1/1980,16.5744,32,24.2,0
1/9/1980,1/1980,18.1858,32.4,23,0
1/10/1980,1/1980,18.0707,32.4,23.2,0
1/11/1980,1/1980,17.7254,32,23.2,0
1/12/1980,1/1980,17.1499,31,22.8,0
1/13/1980,1/1980,18.8764,30.2,20.2,0
1/14/1980,1/1980,18.416,30.2,20.8,0
1/15/1980,1/1980,19.2217,31.2,20.9,0
1/16/1980,1/1980,19.9123,33.2,22.2,0
1/17/1980,1/1980,18.3009,33,23.8,0
1/18/1980,1/1980,17.265,31.2,23,0
1/19/1980,1/1980,17.4952,32.2,23.8,0
1/20/1980,1/1980,18.7613,32.8,23.2,0
1/21/1980,1/1980,20.718,32.8,21.2,0
1/22/1980,1/1980,21.6388,33.8,21.2,0
1/23/1980,1/1980,20.6029,33.2,21.8,0
1/24/1980,1/1980,19.7972,32.3,21.8,0
1/25/1980,1/1980,20.1425,32.8,22,0
1/26/1980,1/1980,19.6821,32.2,22,0
1/27/1980,1/1980,20.4878,33.4,22.4,0
1/28/1980,1/1980,16.9197,31.1,23.6,0
1/29/1980,1/1980,18.1858,32.6,24,0
1/30/1980,1/1980,18.6462,32.8,23.8,0
1/31/1980,1/1980,20.6029,33.9,22.9,37.3
2/1/1980,2/1980,19.6875,34.4,24,0
2/2/1980,2/1980,19.35,33,23,0
2/3/1980,2/1980,18.9,32.9,23.4,0
2/4/1980,2/1980,18.675,33,23.8,0.5
2/5/1980,2/1980,17.2125,31.6,23.8,0
2/6/1980,2/1980,20.475,33.2,22.2,0
2/7/1980,2/1980,20.7,34,22.8,0
2/8/1980,2/1980,19.2375,33,23.4,0
2/9/1980,2/1980,19.6875,33.8,23.8,0
2/10/1980,2/1980,21.0375,34.6,23.2,0
2/11/1980,2/1980,21.0375,34.2,22.9,0
2/12/1980,2/1980,20.925,34.1,23,0
2/13/1980,2/1980,21.7125,34.2,22.3,15
2/14/1980,2/1980,19.4625,32.6,23,0
2/15/1980,2/1980,19.575,32.6,23,0
2/16/1980,2/1980,19.2375,32.8,23.6,0.8
2/17/1980,2/1980,19.6875,33.4,23.8,0.6
2/18/1980,2/1980,19.4625,33,23.6,0
2/19/1980,2/1980,20.1375,33.8,23.8,1
2/20/1980,2/1980,15.525,30,24.1,0
2/21/1980,2/1980,21.375,33.2,22,0
2/22/1980,2/1980,19.9125,31.8,22.2,0
2/23/1980,2/1980,18.225,31.2,23.2,0
2/24/1980,2/1980,20.025,32.8,23.2,0
2/25/1980,2/1980,18.1125,32.1,24.2,0
2/26/1980,2/1980,20.5875,34.2,24.1,0
2/27/1980,2/1980,21.0375,35,24.5,0
2/28/1980,2/1980,14.4,29.8,24.9,0
2/29/1980,2/1980,21.7125,33.9,22.8,0
3/1/1980,3/1980,19.5915,34.2,24,0
3/2/1980,3/1980,18.4266,33,24.1,0
3/3/1980,3/1980,16.5204,32.2,25,0
3/4/1980,3/1980,20.3328,34.6,23.8,0
3/5/1980,3/1980,16.4145,31.1,24.1,0
3/6/1980,3/1980,15.6732,30.6,24.2,0
3/7/1980,3/1980,17.8971,32,23.7,0
3/8/1980,3/1980,17.5794,32,24,0
3/9/1980,3/1980,17.1558,32.4,24.8,0
3/10/1980,3/1980,16.0968,31.7,25.1,0
3/11/1980,3/1980,17.6853,33,25,0
3/12/1980,3/1980,20.6505,34.1,23.3,0
3/13/1980,3/1980,18.003,31.4,23.2,0
3/14/1980,3/1980,18.003,32.2,24,0
3/15/1980,3/1980,18.003,32.1,23.9,0
3/16/1980,3/1980,19.8033,33,23.1,0
3/17/1980,3/1980,19.8033,33,23.2,0
3/18/1980,3/1980,21.7095,34,22.2,0
3/19/1980,3/1980,20.8623,33.2,22.4,0
3/20/1980,3/1980,21.6036,33.2,21.6,0
3/21/1980,3/1980,19.4856,32,22.6,0
3/22/1980,3/1980,23.4039,34,20.5,0
3/23/1980,3/1980,23.298,33.8,20.4,0
3/24/1980,3/1980,21.0741,34,23.1,0
3/25/1980,3/1980,20.2269,33.1,23,0
3/26/1980,3/1980,20.121,33,23,0
3/27/1980,3/1980,21.7095,34.7,23.1,0
3/28/1980,3/1980,21.6036,34.8,23.4,0
3/29/1980,3/1980,21.9213,35.4,23.6,0
3/30/1980,3/1980,22.0272,35,23.1,44
3/31/1980,3/1980,22.7685,36.1,23.4,0
4/1/1980,4/1980,21.384,35.9,23.1,0
4/2/1980,4/1980,20.889,36.1,24,0
4/3/1980,4/1980,17.226,33.2,24.9,0
4/4/1980,4/1980,15.246,31,24.5,0
4/5/1980,4/1980,19.899,34.2,23.2,0
4/6/1980,4/1980,19.899,34.2,23.2,0
4/7/1980,4/1980,17.622,32.6,24,0
4/8/1980,4/1980,16.236,31.4,24.1,0
4/9/1980,4/1980,19.701,34.8,24,0
4/10/1980,4/1980,19.404,35,24.6,0
4/11/1980,4/1980,21.78,36.1,23,0
4/12/1980,4/1980,18.414,34,24.6,0
4/13/1980,4/1980,16.335,32.4,25,0
4/14/1980,4/1980,17.127,32.2,24.1,0.6
4/15/1980,4/1980,18.117,33.8,24.7,2.2
4/16/1980,4/1980,17.82,32.2,23.4,0
4/17/1980,4/1980,19.107,34,23.9,3.3
4/18/1980,4/1980,16.335,30.8,23.4,0.8
4/19/1980,4/1980,16.731,30.2,22.4,18
4/20/1980,4/1980,18.018,32,23,0.2
4/21/1980,4/1980,18.315,32.4,23.1,13.5
4/22/1980,4/1980,16.038,31.4,24.2,4.2
4/23/1980,4/1980,17.523,32.8,24.2,0.2
4/24/1980,4/1980,17.919,32.8,23.8,2.7
4/25/1980,4/1980,16.83,32.5,24.6,2.4
4/26/1980,4/1980,16.533,32.8,25.2,0
4/27/1980,4/1980,13.365,27.1,22.1,0
4/28/1980,4/1980,19.206,32.4,22.1,0
4/29/1980,4/1980,17.325,32.8,24.4,0.2
4/30/1980,4/1980,17.523,33,24.4,0
5/1/1980,5/1980,19.4346,33.5,24.3,0
5/2/1980,5/1980,13.5936,29.1,24.6,27.2
5/3/1980,5/1980,19.116,32,23,0
5/4/1980,5/1980,19.9656,34.1,24.3,0
5/5/1980,5/1980,20.0718,33.9,24,1.1
5/6/1980,5/1980,15.6114,31,25,0
5/7/1980,5/1980,16.8858,31.2,24.2,0
5/8/1980,5/1980,9.4518,27,24.8,4.8
5/9/1980,5/1980,20.4966,33.4,23,0.1
5/10/1980,5/1980,19.647,33.8,24.2,13
5/11/1980,5/1980,18.585,33.7,25.1,0
5/12/1980,5/1980,19.7532,34.9,25.2,1
5/13/1980,5/1980,18.9036,33.2,24.3,1.1
5/14/1980,5/1980,14.7618,29.9,24.5,1.4
5/15/1980,5/1980,18.9036,32.2,23.3,0.1
