Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,18.1858,34.8,25.4,0
1/2/1980,1/1980,16.6895,33.6,25.6,0
1/3/1980,1/1980,20.1425,33,21.4,0
1/4/1980,1/1980,15.1932,31,24.4,0
1/5/1980,1/1980,16.3442,31.6,24,0
1/6/1980,1/1980,16.8046,32.8,24.8,0
1/7/1980,1/1980,16.5744,32,24.2,0
1/8/1980,1/1980,18.5311,33,23.4,0
1/9/1980,1/1980,15.0781,31.2,24.8,0
1/10/1980,1/1980,15.0781,31,24.6,0
1/11/1980,1/1980,18.1858,32,22.8,0
1/12/1980,1/1980,18.9915,32.6,22.6,0
1/13/1980,1/1980,19.567,34.2,23.6,0
1/14/1980,1/1980,17.4952,31.6,23.2,0
1/15/1980,1/1980,18.6462,33,23.4,0
1/16/1980,1/1980,17.9556,32.8,24,0
1/17/1980,1/1980,17.4952,31.4,23,0
1/18/1980,1/1980,17.6103,32,23.6,0
1/19/1980,1/1980,17.3801,31.8,23.6,0
1/20/1980,1/1980,17.8405,32.6,24,0
1/21/1980,1/1980,18.5311,34.2,25,0
1/22/1980,1/1980,20.2576,34.4,23.4,0.6
1/23/1980,1/1980,19.3368,34.6,24.6,0
1/24/1980,1/1980,18.9915,34.6,25,1.7
1/25/1980,1/1980,18.6462,33.4,24.2,0
1/26/1980,1/1980,19.6821,34.2,24,0
1/27/1980,1/1980,3.9134,25.4,25,0
1/28/1980,1/1980,18.416,32.4,23.6,0
1/29/1980,1/1980,17.8405,33,24.8,0
1/30/1980,1/1980,19.9123,33.6,23.4,3.1
1/31/1980,1/1980,17.0348,31,23.6,0
2/1/1980,2/1980,15.1875,31,24.8,0
2/2/1980,2/1980,17.325,31.4,23.4,0
2/3/1980,2/1980,17.775,32,23.6,0.3
2/4/1980,2/1980,13.725,30,25,5.3
2/5/1980,2/1980,19.125,34,24.4,0.2
2/6/1980,2/1980,22.275,32.4,19.4,0
2/7/1980,2/1980,19.4625,33,23.2,0
2/8/1980,2/1980,14.7375,30.4,24.8,0
2/9/1980,2/1980,18.9,31.6,22.4,0
