Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,17.9556,34.8,25.4,0
1/2/1980,1/1980,16.5744,33.6,25.6,0
1/3/1980,1/1980,20.0274,33,21.4,0
1/4/1980,1/1980,15.0781,31,24.4,0
1/5/1980,1/1980,16.2291,31.6,24,0
1/6/1980,1/1980,16.6895,32.8,24.8,0
1/7/1980,1/1980,16.4593,32,24.2,0
1/8/1980,1/1980,18.3009,33,23.4,0
1/9/1980,1/1980,14.963,31.2,24.8,0
1/10/1980,1/1980,15.0781,31,24.6,0
1/11/1980,1/1980,18.0707,32,22.8,0
1/12/1980,1/1980,18.8764,32.6,22.6,0
1/13/1980,1/1980,19.4519,34.2,23.6,0
1/14/1980,1/1980,17.3801,31.6,23.2,0
1/15/1980,1/1980,18.5311,33,23.4,0
1/16/1980,1/1980,17.8405,32.8,24,0
1/17/1980,1/1980,17.3801,31.4,23,0
1/18/1980,1/1980,17.4952,32,23.6,0
1/19/1980,1/1980,17.265,31.8,23.6,0
1/20/1980,1/1980,17.7254,32.6,24,0
1/21/1980,1/1980,18.416,34.2,25,0
1/22/1980,1/1980,20.1425,34.4,23.4,0
1/23/1980,1/1980,19.2217,34.6,24.6,0
1/24/1980,1/1980,18.8764,34.6,25,0
1/25/1980,1/1980,18.5311,33.4,24.2,0
1/26/1980,1/1980,19.567,34.2,24,0
1/27/1980,1/1980,3.9134,25.4,25,0
1/28/1980,1/1980,18.3009,32.4,23.6,0
1/29/1980,1/1980,17.7254,33,24.8,0
1/30/1980,1/1980,19.7972,33.6,23.4,0
1/31/1980,1/1980,16.9197,31,23.6,0
2/1/1980,2/1980,15.1875,31,24.8,0
2/2/1980,2/1980,17.2125,31.4,23.4,0
2/3/1980,2/1980,17.6625,32,23.6,0
2/4/1980,2/1980,13.725,30,25,0
2/5/1980,2/1980,19.0125,34,24.4,0
2/6/1980,2/1980,22.1625,32.4,19.4,0
