Fecha,Date,SRAD_Ajusted,TMAX,TMIN,RAIN
1/1/1980,1/1980,17.9556,34.8,25.4,8.1
1/2/1980,1/1980,16.5744,33.6,25.6,0
1/3/1980,1/1980,19.9123,33,21.4,5
1/4/1980,1/1980,15.0781,31,24.4,1.1
1/5/1980,1/1980,16.2291,31.6,24,18
1/6/1980,1/1980,16.6895,32.8,24.8,0
1/7/1980,1/1980,16.4593,32,24.2,0
1/8/1980,1/1980,18.3009,33,23.4,0
1/9/1980,1/1980,14.963,31.2,24.8,0
1/10/1980,1/1980,14.963,31,24.6,0
1/11/1980,1/1980,17.9556,32,22.8,0
1/12/1980,1/1980,18.7613,32.6,22.6,0
1/13/1980,1/1980,19.3368,34.2,23.6,0
1/14/1980,1/1980,17.265,31.6,23.2,0
1/15/1980,1/1980,18.5311,33,23.4,17.5
1/16/1980,1/1980,17.7254,32.8,24,0
1/17/1980,1/1980,17.3801,31.4,23,0
1/18/1980,1/1980,17.3801,32,23.6,0
1/19/1980,1/1980,17.265,31.8,23.6,0
1/20/1980,1/1980,17.7254,32.6,24,0
1/21/1980,1/1980,18.3009,34.2,25,1.9
1/22/1980,1/1980,20.1425,34.4,23.4,0
1/23/1980,1/1980,19.2217,34.6,24.6,0
1/24/1980,1/1980,18.8764,34.6,25,0
1/25/1980,1/1980,18.5311,33.4,24.2,0
1/26/1980,1/1980,19.567,34.2,24,0
1/27/1980,1/1980,3.9134,25.4,25,0
1/28/1980,1/1980,18.1858,32.4,23.6,13
1/29/1980,1/1980,17.6103,33,24.8,0
1/30/1980,1/1980,19.6821,33.6,23.4,0
1/31/1980,1/1980,16.8046,31,23.6,0
2/1/1980,2/1980,15.075,31,24.8,0
2/2/1980,2/1980,17.2125,31.4,23.4,0
2/3/1980,2/1980,17.6625,32,23.6,0
2/4/1980,2/1980,13.6125,30,25,0
2/5/1980,2/1980,19.0125,34,24.4,0
2/6/1980,2/1980,22.1625,32.4,19.4,0
2/7/1980,2/1980,19.2375,33,23.2,0
2/8/1980,2/1980,14.625,30.4,24.8,0
2/9/1980,2/1980,18.7875,31.6,22.4,0
2/10/1980,2/1980,17.1,32,24.4,0
2/11/1980,2/1980,17.775,33.2,25,0
2/12/1980,2/1980,21.2625,35,23.4,0
2/13/1980,2/1980,18.7875,33.6,24.6,0
2/14/1980,2/1980,21.4875,35,23.2,0
2/15/1980,2/1980,19.6875,34.2,24.4,0
2/16/1980,2/1980,20.7,35,24.2,0
2/17/1980,2/1980,18.9,33,24,0
2/18/1980,2/1980,20.25,34,23.8,0
2/19/1980,2/1980,23.4,33.2,19.6,0
2/20/1980,2/1980,17.1,32.2,25,0
2/21/1980,2/1980,18.675,32.8,24.2,0
2/22/1980,2/1980,16.875,31,24,0
2/23/1980,2/1980,21.4875,33,21.8,0
2/24/1980,2/1980,23.5125,35,21.6,0
2/25/1980,2/1980,20.1375,33.4,23.6,0
2/26/1980,2/1980,21.0375,34.6,24,0
2/27/1980,2/1980,21.6,34.8,23.6,0
2/28/1980,2/1980,19.0125,32.6,24,0
2/29/1980,2/1980,23.0625,33.6,21,0
3/1/1980,3/1980,20.121,34,23.2,0
3/2/1980,3/1980,20.3328,34,23,0
3/3/1980,3/1980,19.8033,34,23.6,0
3/4/1980,3/1980,20.4387,33,22,0
3/5/1980,3/1980,21.3918,34,22,0
3/6/1980,3/1980,19.1679,33.8,24.2,0
3/7/1980,3/1980,20.5446,35,24,0
3/8/1980,3/1980,20.2269,33.8,23.2,0
3/9/1980,3/1980,15.2496,30,24,0
3/10/1980,3/1980,18.9561,34.8,25.6,0
3/11/1980,3/1980,22.0272,37.4,25,0
3/12/1980,3/1980,18.3207,34,25.4,0
3/13/1980,3/1980,17.2617,32.6,25,0
3/14/1980,3/1980,18.6384,33.8,25,0
3/15/1980,3/1980,16.4145,32.2,25.4,0
3/16/1980,3/1980,17.7912,33,25,0
3/17/1980,3/1980,22.0272,35.8,23.6,0
3/18/1980,3/1980,20.2269,35.2,25,0
3/19/1980,3/1980,18.1089,33.2,25,0
3/20/1980,3/1980,16.944,32.4,25.2,0
3/21/1980,3/1980,22.8744,38,25,0
3/22/1980,3/1980,20.6505,32.2,21.6,0
3/23/1980,3/1980,22.7685,33.4,20.6,0
3/24/1980,3/1980,17.7912,31.8,24,0
3/25/1980,3/1980,19.062,34,25,0
3/26/1980,3/1980,19.5915,35,25.6,0
3/27/1980,3/1980,22.6626,35,22.4,0
3/28/1980,3/1980,19.1679,35,26,0
3/29/1980,3/1980,9.0015,26.8,24.8,44
3/30/1980,3/1980,12.4962,25.8,22,3
3/31/1980,3/1980,18.9561,34,25.2,0
4/1/1980,4/1980,16.929,32.6,24.6,0
4/2/1980,4/1980,19.503,35.8,25.2,0
4/3/1980,4/1980,15.444,32,25.4,0
4/4/1980,4/1980,16.929,33,25,0
4/5/1980,4/1980,16.929,34.2,26.2,0
4/6/1980,4/1980,15.84,33,26,0
4/7/1980,4/1980,14.949,32.9,26.7,0
4/8/1980,4/1980,17.226,32.4,24.2,0
4/9/1980,4/1980,15.939,32.4,25.4,0
4/10/1980,4/1980,16.533,32,24.4,0
4/11/1980,4/1980,17.424,32.2,23.8,0
4/12/1980,4/1980,19.404,33,22.6,0
4/13/1980,4/1980,18.81,34.2,24.4,0
4/14/1980,4/1980,18.018,34,25,0
4/15/1980,4/1980,16.533,34,26.4,5
4/16/1980,4/1980,21.78,38.6,25.4,0
4/17/1980,4/1980,19.701,32.2,21.4,14.1
4/18/1980,4/1980,17.424,34.4,26,0.5
4/19/1980,4/1980,15.444,33,26.4,25.1
4/20/1980,4/1980,17.226,32.4,24.2,0
4/21/1980,4/1980,11.682,30.4,26.6,13.2
4/22/1980,4/1980,13.662,29.6,24.4,1
4/23/1980,4/1980,11.979,29,25,0.6
4/24/1980,4/1980,17.622,33.8,25.2,0
4/25/1980,4/1980,15.444,33,26.4,28
4/26/1980,4/1980,15.642,32,25.2,0
4/27/1980,4/1980,16.731,34,26.2,0
4/28/1980,4/1980,14.157,32,26.4,1.2
4/29/1980,4/1980,15.84,33,26,0
4/30/1980,4/1980,14.355,31,25.2,0
5/1/1980,5/1980,15.93,32.4,26.2,0
5/2/1980,5/1980,13.1688,30,25.8,0
5/3/1980,5/1980,20.8152,32.4,21.8,0
5/4/1980,5/1980,18.2664,34.2,26,0.3
5/5/1980,5/1980,16.6734,33,26.2,0
5/6/1980,5/1980,15.93,31,24.8,8
5/7/1980,5/1980,9.8766,30,27.6,25
5/8/1980,5/1980,8.6022,27,25.2,27.3
5/9/1980,5/1980,15.8238,31,24.8,0.2
5/10/1980,5/1980,4.0356,26.4,26,0
5/11/1980,5/1980,18.054,32.2,24.2,0
5/12/1980,5/1980,18.4788,34.4,26,0.5
5/13/1980,5/1980,19.8594,33.2,23.4,0.5
5/14/1980,5/1980,13.275,29,24.6,5.3
5/15/1980,5/1980,19.2222,32.4,23.2,0
5/16/1980,5/1980,11.682,31,27.6,0
5/17/1980,5/1980,16.992,32.8,25.6,0
5/18/1980,5/1980,0,25.2,25.2,0
5/19/1980,5/1980,11.3634,30,26.8,0
5/20/1980,5/1980,17.8416,33,25,0
5/21/1980,5/1980,11.2572,30.2,27,15
5/22/1980,5/1980,14.4432,30,24.8,0
5/23/1980,5/1980,14.1246,31,26,10
5/24/1980,5/1980,15.399,30,24,0
5/25/1980,5/1980,15.7176,31.6,25.4,12
5/26/1980,5/1980,18.6912,32,23.2,0
5/27/1980,5/1980,12.8502,28.6,24.4,0
5/28/1980,5/1980,22.0896,35.6,23.2,0
5/29/1980,5/1980,22.0896,35.6,23.2,9.2
5/30/1980,5/1980,16.5672,30,23,0
5/31/1980,5/1980,17.9478,32.4,24.2,10
6/1/1980,6/1980,13.064,29,25.2,0
6/2/1980,6/1980,16.9264,31.4,25,0
6/3/1980,6/1980,19.4256,33,24.6,3.3
6/4/1980,6/1980,17.1536,30,23.4,3
6/5/1980,6/1980,18.176,32,24.6,0
6/6/1980,6/1980,17.4944,33,26.2,0
6/7/1980,6/1980,13.9728,31,26.6,0.1
6/8/1980,6/1980,16.3584,33,27,0
6/9/1980,6/1980,9.8832,28.2,26,2
6/10/1980,6/1980,16.5856,31.2,25,2.2
6/11/1980,6/1980,17.608,32,25,0
6/12/1980,6/1980,16.5856,31,24.8,0
6/13/1980,6/1980,18.4032,32,24.4,0
6/14/1980,6/1980,22.9472,35,23.2,0
6/15/1980,6/1980,17.608,32,25,0
6/16/1980,6/1980,22.4928,36.4,25,0
6/17/1980,6/1980,20.2208,33.6,24.4,1.7
6/18/1980,6/1980,21.9248,38.6,27.8,1.5
6/19/1980,6/1980,15.7904,30,24.4,11
6/20/1980,6/1980,17.8352,30,22.8,0
6/21/1980,6/1980,8.4064,26.4,24.8,0
6/22/1980,6/1980,16.8128,31.4,25,60.6
6/23/1980,6/1980,19.312,31,22.6,0
6/24/1980,6/1980,18.8576,33,25,0
6/25/1980,6/1980,15.4496,31.4,26,0
6/26/1980,6/1980,17.1536,33,26.4,0
6/27/1980,6/1980,18.0624,34.2,26.8,0
6/28/1980,6/1980,18.0624,33,25.6,0
6/29/1980,6/1980,21.9248,35.8,25,0
6/30/1980,6/1980,21.6976,36.2,25.6,0
7/1/1980,7/1980,20.5368,33,24.4,0
7/2/1980,7/1980,20.298,34,25.6,44.2
7/3/1980,7/1980,24.1188,33.2,21.4,0
7/4/1980,7/1980,19.8204,33.6,25.6,0
7/5/1980,7/1980,19.8204,34,26,0
7/6/1980,7/1980,4.4178,27.4,27,47
7/7/1980,7/1980,19.5816,30,22.2,1.8
7/8/1980,7/1980,21.7308,34.2,24.6,0
7/9/1980,7/1980,16.5966,32.2,26.6,4.8
7/10/1980,7/1980,20.5368,32,23.4,10
7/11/1980,7/1980,21.7308,32,22.4,0
7/12/1980,7/1980,18.3876,32,25.2,0
7/13/1980,7/1980,18.0294,31.8,25.2,0
7/14/1980,7/1980,16.3578,31,25.6,0
7/15/1980,7/1980,19.701,32.8,25,34.2
7/16/1980,7/1980,21.1338,31.2,22.2,0
7/17/1980,7/1980,17.313,32,26,3
7/18/1980,7/1980,21.8502,32.6,23,0
7/19/1980,7/1980,19.701,32,24.2,0
7/20/1980,7/1980,17.91,31.6,25.2,41
7/21/1980,7/1980,16.9548,31.4,25.6,6.4
7/22/1980,7/1980,19.701,29.8,22,0
7/23/1980,7/1980,21.2532,33,24,6
7/24/1980,7/1980,24.7158,34.8,22.6,0
7/25/1980,7/1980,17.0742,30,24.2,0
7/26/1980,7/1980,19.5816,32.2,24.6,0
7/27/1980,7/1980,19.2234,32.8,25.4,0.3
7/28/1980,7/1980,18.7458,30,23,0.4
7/29/1980,7/1980,20.0592,32,24,0
7/30/1980,7/1980,20.0592,32,24,0
7/31/1980,7/1980,16.2384,31,25.8,50.5
8/1/1980,8/1980,16.2162,28.8,23,43.3
8/2/1980,8/1980,18.144,31.2,24,1.7
8/3/1980,8/1980,19.1646,30,22,11.9
8/4/1980,8/1980,18.3708,32.2,24.8,10
8/5/1980,8/1980,19.3914,31.4,23.2,18
8/6/1980,8/1980,19.6182,31.6,23.2,4
8/7/1980,8/1980,16.5564,29.2,23.2,4
8/8/1980,8/1980,15.9894,30,24.4,10.1
8/9/1980,8/1980,17.4636,30,23.4,0
8/10/1980,8/1980,16.1028,30,24.4,0.2
8/11/1980,8/1980,18.4842,32.6,25.2,0
8/12/1980,8/1980,17.1234,31.6,25.2,3
8/13/1980,8/1980,20.1852,33,24.2,0
8/14/1980,8/1980,19.5048,33,24.8,1
8/15/1980,8/1980,22.9068,33.6,22.2,19
8/16/1980,8/1980,21.0924,30.2,20.6,0
8/17/1980,8/1980,19.278,31.6,23.6,9.5
8/18/1980,8/1980,19.9584,32,23.4,35
8/19/1980,8/1980,17.4636,28.6,22,1.4
8/20/1980,8/1980,18.2574,30.6,23.4,0
8/21/1980,8/1980,18.8244,32,24.4,0
8/22/1980,8/1980,15.5358,30.2,25,0
8/23/1980,8/1980,8.6184,26.2,24.6,0
8/24/1980,8/1980,16.443,31,25.2,0
8/25/1980,8/1980,17.4636,33,26.4,20
8/26/1980,8/1980,19.0512,31.2,23.4,1
8/27/1980,8/1980,21.9996,33.8,23.4,13
8/28/1980,8/1980,19.5048,30.6,22.4,3.8
8/29/1980,8/1980,19.5048,31.2,23,0.7
8/30/1980,8/1980,14.9688,29,24.2,2.5
8/31/1980,8/1980,19.7316,33,24.6,1.5
9/1/1980,9/1980,14.4535,30,24.8,42.4
9/2/1980,9/1980,15.5085,29.6,23.6,0
9/3/1980,9/1980,12.9765,28,23.8,0
9/4/1980,9/1980,19.201,32.8,23.6,1.3
9/5/1980,9/1980,18.146,33,24.8,0
9/6/1980,9/1980,18.99,32.4,23.4,10.7
9/7/1980,9/1980,17.8295,31,23,1.1
9/8/1980,9/1980,13.293,29,24.6,1
9/9/1980,9/1980,15.9305,30.2,23.8,1.5
9/10/1980,9/1980,18.0405,32.2,24,14
9/11/1980,9/1980,18.8845,31.4,22.4,0
9/12/1980,9/1980,17.8295,30,22,0
9/13/1980,9/1980,19.7285,31.4,21.6,18
9/14/1980,9/1980,19.623,33,23.2,25
9/15/1980,9/1980,14.559,28.4,23,0
9/16/1980,9/1980,19.834,32.6,22.6,0.4
9/17/1980,9/1980,18.779,32.4,23.4,0
9/18/1980,9/1980,18.146,31,22.6,6.4
9/19/1980,9/1980,18.357,30.4,21.8,56.7
9/20/1980,9/1980,14.2425,29,23.8,0
9/21/1980,9/1980,17.1965,30.6,23,0
9/22/1980,9/1980,18.6735,31.4,22.4,2
9/23/1980,9/1980,17.8295,31,22.8,0
9/24/1980,9/1980,18.0405,32.8,24.4,0
9/25/1980,9/1980,18.779,32.6,23.4,5.7
9/26/1980,9/1980,11.7105,26,22.4,0
9/27/1980,9/1980,18.568,32,23,0
9/28/1980,9/1980,16.7745,31,23.6,0
9/29/1980,9/1980,18.0405,29.6,21,17.1
9/30/1980,9/1980,17.6185,30.4,22.2,0
10/1/1980,10/1980,17.2326,30,23,0
10/2/1980,10/1980,17.6802,31.4,24,0
10/3/1980,10/1980,16.6731,31,24.4,0
10/4/1980,10/1980,19.023,32.4,23.8,0.6
10/5/1980,10/1980,19.2468,33,24.2,75.7
10/6/1980,10/1980,17.5683,31,23.6,4
10/7/1980,10/1980,10.7424,26.8,24,26.6
10/8/1980,10/1980,17.4564,31,23.6,0
10/9/1980,10/1980,17.6802,31.2,23.6,5
10/10/1980,10/1980,15.4422,28.4,22.6,37
10/11/1980,10/1980,16.6731,30.4,23.6,6.4
10/12/1980,10/1980,17.7921,30.8,23,0
10/13/1980,10/1980,17.1207,31.6,24.4,0
10/14/1980,10/1980,10.2948,29.6,27,1.4
10/15/1980,10/1980,17.4564,32,24.4,2.7
10/16/1980,10/1980,17.0088,31.2,24,0
10/17/1980,10/1980,17.6802,32.2,24.4,5.3
10/18/1980,10/1980,14.3232,27.6,22.4,0.3
10/19/1980,10/1980,18.0159,31.4,23.2,0
10/20/1980,10/1980,20.9253,33.4,22.2,33.9
10/21/1980,10/1980,14.7708,30,24.4,0
10/22/1980,10/1980,16.0017,30.6,24,0
10/23/1980,10/1980,20.8134,34.8,23.6,0
10/24/1980,10/1980,17.5683,32,24,0
10/25/1980,10/1980,6.8259,26.4,25.2,7.3
10/26/1980,10/1980,17.904,31,22.6,1.7
10/27/1980,10/1980,17.6802,29.6,21.4,0
10/28/1980,10/1980,12.6447,30.2,26,0.6
10/29/1980,10/1980,11.3019,28.4,25,0
10/30/1980,10/1980,16.8969,31,23.4,18.8
10/31/1980,10/1980,14.6589,28.8,23,2.3
11/1/1980,11/1980,13.1451,30,24.4,0
11/2/1980,11/1980,14.1641,31.6,25,0
11/3/1980,11/1980,11.8204,29.8,25.2,0
11/4/1980,11/1980,11.8204,28.4,23.8,17.9
11/5/1980,11/1980,9.4767,26.4,23.4,55
11/6/1980,11/1980,13.8584,30.4,24,0.2
11/7/1980,11/1980,14.8774,31,23.6,0
11/8/1980,11/1980,14.9793,31.4,23.8,0
11/9/1980,11/1980,16.1002,31.4,22.6,0
11/10/1980,11/1980,14.7755,30.8,23.4,0
11/11/1980,11/1980,16.1002,31.8,23,0
11/12/1980,11/1980,15.0812,31,23.2,19
11/13/1980,11/1980,15.9983,32,23.2,0
11/14/1980,11/1980,15.3869,30,21.8,34
11/15/1980,11/1980,12.4318,30,24.6,0
11/16/1980,11/1980,15.1831,31.2,23.2,0
11/17/1980,11/1980,14.3679,31,23.8,0
11/18/1980,11/1980,14.6736,32.6,25,0
11/19/1980,11/1980,14.4698,32.4,25,0
11/20/1980,11/1980,14.8774,32.6,24.8,0
11/21/1980,11/1980,14.3679,31.8,24.4,0
11/22/1980,11/1980,15.4888,32.8,24.2,0.1
11/23/1980,11/1980,13.9603,32,25,0
11/24/1980,11/1980,14.6736,32,24.2,0
11/25/1980,11/1980,13.1451,30,23.8,0
11/26/1980,11/1980,15.1831,32.6,24.2,0
11/27/1980,11/1980,14.4698,32.2,24.6,0
11/28/1980,11/1980,3.2608,25.4,25,0
11/29/1980,11/1980,12.6356,31.4,25.6,15.4
11/30/1980,11/1980,14.9793,31.2,23,0
12/1/1980,12/1980,13.7456,30.6,25,3.8
12/2/1980,12/1980,16.472,32.6,24.6,0
12/3/1980,12/1980,17.9488,32.8,23.2,0
12/4/1980,12/1980,17.1536,32.8,24,0
12/5/1980,12/1980,16.8128,31,22.6,0
12/6/1980,12/1980,15.6768,31.6,24.2,0
12/7/1980,12/1980,14.9952,32.8,26,0
12/8/1980,12/1980,15.4496,31.8,24.6,0
12/9/1980,12/1980,15.2224,31.2,24.2,0
12/10/1980,12/1980,17.2672,32.2,23.2,0
12/11/1980,12/1980,6.248,25.6,24.4,0
12/12/1980,12/1980,12.6096,30,25.2,2.2
12/13/1980,12/1980,15.2224,31,24,0
12/14/1980,12/1980,14.768,30.6,24,0
12/15/1980,12/1980,17.04,32.4,23.6,7
12/16/1980,12/1980,14.9952,31.8,25,24
12/17/1980,12/1980,15.5632,30,22.6,0
12/18/1980,12/1980,14.3136,29.8,23.6,9
12/19/1980,12/1980,14.5408,32,25.6,0
12/20/1980,12/1980,16.2448,31.6,23.6,0
12/21/1980,12/1980,16.8128,31.6,23,0
12/22/1980,12/1980,16.0176,31.2,23.4,0
12/23/1980,12/1980,16.2448,32,24,0
12/24/1980,12/1980,16.2448,31.8,23.8,0
12/25/1980,12/1980,14.9952,30.2,23.4,0
12/26/1980,12/1980,13.632,29,23.4,0
12/27/1980,12/1980,13.8592,28.9,23.1,0
