Fecha,Date,TMAX,TMIN,RAIN,S.Rad,Kc
1/1/1985,Jan-85,33.21523112,21.01523112,0.5,20.046922,0.8
1/2/1985,Jan-85,29.59055056,21.19055056,0,18.831112,0.8
1/3/1985,Jan-85,29.65156579,21.25156579,0,19.90807,0.8
1/4/1985,Jan-85,32.54960182,21.74960182,0,17.15213,0.8
1/5/1985,Jan-85,29.91460657,21.11460657,0.2,16.521057,0.8
1/6/1985,Jan-85,33.86001084,21.06001084,0,12.538951,0.8
1/7/1985,Jan-85,31.70048704,22.40048704,0,14.117494,0.8
1/8/1985,Jan-85,33.1673717,19.9673717,0,14.942865,0.8
1/9/1985,Jan-85,32.95206126,21.05206126,0,17.938448,0.8
1/10/1985,Jan-85,31.30492238,21.00492238,3.8,20.116752,0.8
1/11/1985,Jan-85,32.04337845,20.84337845,0,19.407184,0.8
1/12/1985,Jan-85,32.17678654,20.97678654,0,20.649466,0.8
1/13/1985,Jan-85,31.88765153,22.88765153,0,16.683873,0.8
1/14/1985,Jan-85,32.4410049,22.2410049,0,16.171356,0.8
1/15/1985,Jan-85,31.74445061,21.44445061,0,16.502416,0.8
1/16/1985,Jan-85,31.23729688,21.63729688,0,19.183468,0.8
1/17/1985,Jan-85,30.84289034,20.54289034,0,20.27194,0.8
1/18/1985,Jan-85,32.69995388,20.99995388,0,19.44926,0.8
1/19/1985,Jan-85,30.83090269,22.03090269,0,17.304028,0.8
1/20/1985,Jan-85,35.77440187,22.57440187,0,17.997144,0.8
1/21/1985,Jan-85,34.52348123,20.72348123,0,17.85772,0.8
1/22/1985,Jan-85,30.415732,22.215732,6.1,17.472762,0.8
1/23/1985,Jan-85,33.36752049,20.16752049,0,15.843428,0.8
1/24/1985,Jan-85,30.34936889,21.54936889,0,19.291824,0.8
1/25/1985,Jan-85,31.74469163,21.24469163,0,20.326172,0.8
1/26/1985,Jan-85,33.03502218,22.13502218,0,18.701484,0.8
1/27/1985,Jan-85,34.07499894,18.97499894,0,17.089396,0.8
1/28/1985,Jan-85,33.1354196,20.9354196,0,16.441063,0.8
1/29/1985,Jan-85,31.80065455,21.20065455,0,14.864307,0.8
1/30/1985,Jan-85,33.85692884,22.65692884,4.1,19.25978,0.8
1/31/1985,Jan-85,29.92482297,20.92482297,0,21.192914,0.8
2/1/1985,Feb-85,33.25,21.45,0,23.2165,0.8
2/2/1985,Feb-85,34.38324274,23.48324274,0,23.705528,0.8
2/3/1985,Feb-85,34.78081944,23.18081944,0,23.722656,0.8
2/4/1985,Feb-85,30.57573539,20.77573539,0,23.160358,0.8
2/5/1985,Feb-85,28.66073966,22.06073966,0,22.590156,0.8
2/6/1985,Feb-85,32.18808735,21.98808735,0,21.526062,0.8
2/7/1985,Feb-85,30.45701071,23.15701071,5.4,15.799274,0.8
2/8/1985,Feb-85,31.2358643,20.8358643,0,16.694753,0.8
2/9/1985,Feb-85,32.6602248,22.8602248,0,17.822526,0.8
2/10/1985,Feb-85,34.57982088,21.77982088,5.9,13.515766,0.8
2/11/1985,Feb-85,31.52457961,22.82457961,25.7,17.114914,0.8
