Fecha,Date,TMAX,TMIN,RAIN,S.Rad,Kc
1/1/1985,Jan-85,32.59928215,21.79928215,0,20.802044,0.8
1/2/1985,Jan-85,29.36425798,20.56425798,0,19.377942,0.8
1/3/1985,Jan-85,29.86761925,20.06761925,4.9,20.1508,0.8
1/4/1985,Jan-85,32.48930687,23.68930687,0,18.854138,0.8
1/5/1985,Jan-85,30.2467365,21.4467365,0,18.56722,0.8
1/6/1985,Jan-85,33.63780544,21.63780544,0,12.257821,0.8
1/7/1985,Jan-85,28.91890794,23.41890794,0,11.449341,0.8
1/8/1985,Jan-85,31.87414871,20.87414871,0,15.026975,0.8
1/9/1985,Jan-85,31.58954929,21.18954929,0,16.063262,0.8
1/10/1985,Jan-85,30.45470553,21.05470553,10.3,19.194744,0.8
1/11/1985,Jan-85,31.64433686,20.44433686,0,19.469186,0.8
1/12/1985,Jan-85,30.56340815,21.16340815,0,20.551176,0.8
1/13/1985,Jan-85,31.6723418,22.8723418,0,18.135786,0.8
1/14/1985,Jan-85,31.48212206,20.88212206,9.7,17.722098,0.8
1/15/1985,Jan-85,30.79806622,20.79806622,0,17.76666,0.8
1/16/1985,Jan-85,30.60287094,22.40287094,0,19.347182,0.8
1/17/1985,Jan-85,31.37666979,21.57666979,0.3,18.619146,0.8
1/18/1985,Jan-85,33.42485116,20.92485116,0,18.352234,0.8
1/19/1985,Jan-85,30.12815473,21.52815473,0,16.488875,0.8
1/20/1985,Jan-85,32.45205038,22.25205038,0,19.657042,0.8
1/21/1985,Jan-85,32.18909146,21.38909146,0,20.17346,0.8
1/22/1985,Jan-85,30.33249745,20.53249745,0,16.441336,0.8
1/23/1985,Jan-85,31.52857126,21.12857126,0,16.279814,0.8
1/24/1985,Jan-85,29.86819703,21.46819703,0,18.108334,0.8
1/25/1985,Jan-85,32.15141501,19.35141501,0,20.529184,0.8
1/26/1985,Jan-85,31.59167779,21.19167779,0,20.430126,0.8
1/27/1985,Jan-85,32.2088106,19.6088106,0,16.803528,0.8
1/28/1985,Jan-85,32.98637,20.78637,0,17.334504,0.8
