Year,Month,1_Ayapel_2502515,2_Cerete_13075030,3_Chima_13075010,4_Cienaga_de_Oro_13075020,5_Montelibano_2502516,6_Monteria,7_Monteria_13055030,8_Monteria_13065020,9_Monteria_13075050,10_Monteria_13085040,11_Planeta_Rica_25025190,12_Planeta_Rica_25015010
1984,1,27.3,41.8,59.9,10,6.2,25,25,62.1,0,25,35.8,29.2
1984,2,148.1,16.2,34.3,78.5,86.5,0,71.7,39.8,0.2,0,44.5,56.3
1984,3,0.3,5.6,20.3,21.7,2.9,0,3,6.9,1.2,0,24.7,18.5
1984,4,84,124.2,86.2,120.5,98.6,26,84.7,113,55.6,26,150.5,64.6
1984,5,218.7,125.9,64.8,84.1,255.8,38,119.5,246.4,133.2,38,218.7,200.5
1984,6,387.6,174.4,188.5,218.7,438.9,81.6,112.8,254.8,128,81.6,234.8,316.6
1984,7,544.1,191.7,136.7,283.4,425.1,56.3,103.2,191.4,95.7,56.3,328.2,240.4
1984,8,361.8,149.3,176.5,169,456.7,71.2,103.2,244.3,72.9,71.2,260.9,279.2
1984,9,338.5,156.1,250.6,191.3,178.3,154.4,138.8,219,269.5,154.4,158.7,201.4
1984,10,245.2,155.4,283.5,100.9,293.5,159.5,163.4,277.4,216,159.5,76.7,132
1984,11,134.3,54.6,94.5,46.9,151.9,35.6,91.2,68.4,91.6,35.6,70,95.4
1984,12,2.1,0.6,0,6.4,12.8,0,0,2.7,32.4,0,0,48
1985,1,5,0,2,12,0,0,0,0,0,0,14.3,14.8
1985,2,1.8,0,26.7,4,5.3,0,0,14.1,10.5,0,0,38.5
1985,3,49.2,16.2,12.1,32.2,42,16,13.5,20.7,0,16,56.6,53.5
1985,4,59.7,33.6,20.6,31.9,41.1,24,41.7,31.4,40.4,24,38.1,41.7
1985,5,169.3,193.6,120.8,149,224.2,180,184.3,160.4,223.6,180,118.2,154.2
1985,6,273.1,113.2,238.4,211.1,347.3,16.9,160.1,180.2,105.9,16.9,174,258.3
1985,7,497.2,176.5,103.5,256,446.8,81.8,122.5,191.1,154.2,81.8,281.4,74.9
