ID,Latitud,Longitud,Elevation,Departamento,Municipio,Station_Name
1,8.295194444,-75.1645,,Cordoba,Ayapel,1_Ayapel_2502515
2,8.839527778,-75.80188889,,Cordoba,Cerete,2_Cerete_13075030
3,9.15075,-75.62208333,,Cordoba,Chima,3_Chima_13075010
4,8.913888889,-75.58222222,,Cordoba,Cienaga_de_Oro,4_Cienaga_de_Oro_13075020
5,8.001111111,-75.39958333,,Cordoba,Montelibano,5_Montelibano_2502516
6,8.810438889,-75.84808056,,Cordoba,Monteria,6_Monteria
7,8.659166667,-75.9725,,Cordoba,Monteria,7_Monteria_13055030
8,8.408,-75.89138889,,Cordoba,Monteria,8_Monteria_13065020
9,8.793888889,-75.86152778,,Cordoba,Monteria,9_Monteria_13075050
10,8.825833333,-75.82513889,,Cordoba,Monteria,10_Monteria_13085040
11,8.399333333,-75.58372222,,Cordoba,Planeta_Rica,11_Planeta_Rica_25025190
12,8.180777778,-75.63227778,,Cordoba,Planeta_Rica,12_Planeta_Rica_25015010
